timestamp,heart_rate_bpm,systolic_bp_mmHg,diastolic_bp_mmHg,spo2_percent,gait_variability,activity_index,speech_valence_index,risk_score,anomaly_score,risk_level,anomaly_label,event_label
2026-01-01 08:00:00,72.1,121.37,78.45,97.56,0.3308,0.3913,0.4437,0.1062,0.0222,low,0,0
2026-01-01 08:05:00,71.76,123.72,80.87,98.05,0.2566,0.4917,0.6077,0.0097,0.0121,low,0,0
2026-01-01 08:10:00,72.0,118.73,78.18,96.69,0.1999,0.6004,0.3275,0.0345,0.0452,low,0,0
2026-01-01 08:15:00,72.31,119.6,79.16,97.0,0.2445,0.5377,0.7802,0.0,0.1214,low,0,0
2026-01-01 08:20:00,71.68,130.39,77.89,97.23,0.2482,0.4719,0.527,0.0196,0.0349,low,0,0
2026-01-01 08:25:00,71.26,120.14,77.66,98.18,0.1818,0.4691,0.5964,0.0175,0.0981,low,0,0
2026-01-01 08:30:00,71.31,120.71,76.44,97.71,0.2372,0.4645,0.9221,0.019,0.0397,low,0,0
2026-01-01 08:35:00,71.2,129.51,78.86,97.91,0.2129,0.4445,0.7926,0.0259,0.0815,low,0,0
2026-01-01 08:40:00,71.2,132.72,76.3,97.14,0.2962,0.8238,0.5009,0.0379,0.0662,low,0,0
2026-01-01 08:45:00,70.93,120.49,79.33,97.15,0.2517,0.5857,0.4551,0.009,0.1068,low,0,0
2026-01-01 08:50:00,71.21,122.9,80.17,97.78,0.2359,0.6564,0.4979,0.0004,0.0334,low,0,0
2026-01-01 08:55:00,71.46,125.02,78.73,97.62,0.2447,0.4913,0.6316,0.0098,0.0,low,0,0
2026-01-01 09:00:00,71.48,129.19,77.43,97.82,0.2612,0.5277,0.5332,0.0,0.0,low,0,0
2026-01-01 09:05:00,71.84,121.04,78.91,97.52,0.2808,0.4644,0.4868,0.0226,0.0413,low,0,0
2026-01-01 09:10:00,71.99,123.26,77.38,97.71,0.2,0.2318,0.7847,0.0988,0.0321,low,0,0
2026-01-01 09:15:00,71.71,126.33,79.87,97.66,0.1979,0.3846,0.5317,0.0464,0.0968,low,0,0
2026-01-01 09:20:00,71.83,125.3,74.34,97.91,0.3052,0.3327,0.9179,0.0894,0.068,low,0,0
2026-01-01 09:25:00,71.52,122.87,77.33,97.92,0.2294,0.28,0.5645,0.0823,0.2075,low,0,0
2026-01-01 09:30:00,71.81,123.6,74.02,96.95,0.1792,0.4066,0.8357,0.0389,0.0,low,0,0
2026-01-01 09:35:00,71.79,119.88,75.01,96.7,0.2722,0.709,0.6072,0.0,0.0702,low,0,0
2026-01-01 09:40:00,71.73,123.29,80.73,98.0,0.2732,0.5447,0.7041,0.0,0.0036,low,0,0
