algorithm_name,family,evaluation_stage,dataset_name,num_samples,accuracy,macro_f1,weighted_f1,unweighted_recall,epochs,selected_best_model
logistic_regression,classical,train_split,RAVDESS_train,1838,1.0,1.0,1.0,1.0,,False
logistic_regression,classical,held_out_validation,RAVDESS_validation,456,0.8596,0.8556,0.8584,0.8572,,False
logistic_regression,classical,external_public_test,CREMA-D,5386,0.2655,0.1049,0.1114,0.25,,False
rbf_svm,classical,train_split,RAVDESS_train,1838,0.994,0.994,0.994,0.9934,,False
rbf_svm,classical,held_out_validation,RAVDESS_validation,456,0.9232,0.92,0.9229,0.9198,,False
rbf_svm,classical,external_public_test,CREMA-D,5386,0.2655,0.1049,0.1114,0.25,,False
random_forest,classical,train_split,RAVDESS_train,1838,1.0,1.0,1.0,1.0,,False
random_forest,classical,held_out_validation,RAVDESS_validation,456,0.8991,0.8954,0.8983,0.8925,,False
random_forest,classical,external_public_test,CREMA-D,5386,0.2455,0.1423,0.1429,0.2485,,False
extra_trees,classical,train_split,RAVDESS_train,1838,1.0,1.0,1.0,1.0,,False
extra_trees,classical,held_out_validation,RAVDESS_validation,456,0.9013,0.8947,0.8994,0.892,,False
extra_trees,classical,external_public_test,CREMA-D,5386,0.2581,0.2117,0.2182,0.2535,,False
cnn_small,deep,train_split,RAVDESS_train,1838,0.9995,0.9994,0.9995,0.9994,1000,True
cnn_small,deep,held_out_validation,RAVDESS_validation,456,0.9781,0.9776,0.978,0.9762,851,True
cnn_small,deep,external_public_test,CREMA-D,5386,0.283,0.2507,0.2489,0.2824,851,True
cnn_batchnorm,deep,train_split,RAVDESS_train,1838,0.9984,0.9984,0.9984,0.9981,1000,False
cnn_batchnorm,deep,held_out_validation,RAVDESS_validation,456,0.9518,0.952,0.9517,0.9532,960,False
cnn_batchnorm,deep,external_public_test,CREMA-D,5386,0.2488,0.1409,0.1417,0.252,960,False
hybrid_soft_voting,hybrid,train_split,RAVDESS_train,1838,,,,,,False
hybrid_soft_voting,hybrid,held_out_validation,RAVDESS_validation,456,0.9693,0.9685,0.9691,0.9666,,False
hybrid_soft_voting,hybrid,external_public_test,CREMA-D,5386,0.2785,0.2326,0.2311,0.276,,False
