bin_index,bin_center,bin_lower,bin_upper,bin_count,accuracy,confidence,accuracy_ci_low,accuracy_ci_high
0,0.03333333333333333,0.0,0.06666666666666667,0,,,,
1,0.1,0.06666666666666667,0.13333333333333333,0,,,,
2,0.16666666666666669,0.13333333333333333,0.2,0,,,,
3,0.23333333333333334,0.2,0.26666666666666666,0,,,,
4,0.3,0.26666666666666666,0.3333333333333333,2139,0.3291257597007948,0.30533758859280036,0.30947872837774665,0.3501636278634876
5,0.3666666666666667,0.3333333333333333,0.4,741,0.34547908232118757,0.35088854385964907,0.31170715249662617,0.3792172739541161
6,0.43333333333333335,0.4,0.4666666666666667,0,,,,
7,0.5,0.4666666666666667,0.5333333333333333,0,,,,
8,0.5666666666666667,0.5333333333333333,0.6,0,,,,
9,0.6333333333333333,0.6,0.6666666666666666,0,,,,
10,0.7,0.6666666666666666,0.7333333333333333,0,,,,
11,0.7666666666666666,0.7333333333333333,0.8,0,,,,
12,0.8333333333333334,0.8,0.8666666666666667,0,,,,
13,0.9,0.8666666666666667,0.9333333333333333,0,,,,
14,0.9666666666666667,0.9333333333333333,1.0,0,,,,
