model,repeat,fold,fold_index,num_train,num_test,accuracy,macro_f1,weighted_f1,unweighted_recall,best_epoch
logistic_regression,1,1,1,230,58,0.827586,0.825884,0.826689,0.811218,
logistic_regression,1,2,2,230,58,0.775862,0.763678,0.774145,0.768219,
logistic_regression,1,3,3,230,58,0.758621,0.747036,0.7535,0.742915,
logistic_regression,1,4,4,231,57,0.842105,0.826945,0.837347,0.823718,
logistic_regression,1,5,5,231,57,0.736842,0.718258,0.732095,0.718877,
logistic_regression,2,1,6,230,58,0.775862,0.747746,0.759474,0.760256,
logistic_regression,2,2,7,230,58,0.87931,0.877308,0.879655,0.871457,
logistic_regression,2,3,8,230,58,0.775862,0.760472,0.771271,0.768219,
logistic_regression,2,4,9,231,57,0.754386,0.757246,0.757564,0.74865,
logistic_regression,2,5,10,231,57,0.807018,0.79155,0.800744,0.780449,
logistic_regression,3,1,11,230,58,0.793103,0.785185,0.79,0.774679,
logistic_regression,3,2,12,230,58,0.862069,0.850538,0.858431,0.846154,
logistic_regression,3,3,13,230,58,0.758621,0.743215,0.752939,0.736842,
logistic_regression,3,4,14,231,57,0.807018,0.802607,0.807061,0.805078,
logistic_regression,3,5,15,231,57,0.701754,0.687759,0.700844,0.684885,
logistic_regression,4,1,16,230,58,0.87931,0.871579,0.878907,0.86891,
logistic_regression,4,2,17,230,58,0.758621,0.75037,0.755504,0.748988,
logistic_regression,4,3,18,230,58,0.758621,0.736852,0.751458,0.736842,
logistic_regression,4,4,19,231,57,0.684211,0.663238,0.677951,0.66886,
logistic_regression,4,5,20,231,57,0.754386,0.736704,0.746214,0.7333,
logistic_regression,5,1,21,230,58,0.741379,0.725161,0.742979,0.71859,
logistic_regression,5,2,22,230,58,0.741379,0.732921,0.73986,0.729757,
logistic_regression,5,3,23,230,58,0.810345,0.798647,0.80537,0.788462,
logistic_regression,5,4,24,231,57,0.754386,0.743205,0.746398,0.741312,
logistic_regression,5,5,25,231,57,0.701754,0.684202,0.695815,0.68168,
logistic_regression,6,1,26,230,58,0.810345,0.808727,0.809978,0.807051,
logistic_regression,6,2,27,230,58,0.706897,0.675225,0.691982,0.67915,
logistic_regression,6,3,28,230,58,0.689655,0.673906,0.68695,0.672065,
logistic_regression,6,4,29,231,57,0.842105,0.835164,0.840601,0.828188,
logistic_regression,6,5,30,231,57,0.789474,0.775325,0.781711,0.770496,
logistic_regression,7,1,31,230,58,0.758621,0.758493,0.758678,0.737821,
logistic_regression,7,2,32,230,58,0.827586,0.81966,0.823538,0.813765,
logistic_regression,7,3,33,230,58,0.724138,0.702892,0.716787,0.698381,
logistic_regression,7,4,34,231,57,0.736842,0.722614,0.73577,0.726552,
logistic_regression,7,5,35,231,57,0.807018,0.802065,0.809123,0.80027,
logistic_regression,8,1,36,230,58,0.827586,0.80983,0.822636,0.801282,
logistic_regression,8,2,37,230,58,0.706897,0.71029,0.707592,0.709514,
logistic_regression,8,3,38,230,58,0.844828,0.831753,0.846362,0.832996,
logistic_regression,8,4,39,231,57,0.842105,0.837121,0.838517,0.825321,
logistic_regression,8,5,40,231,57,0.77193,0.76182,0.769526,0.755735,
logistic_regression,9,1,41,230,58,0.827586,0.80983,0.822636,0.801282,
logistic_regression,9,2,42,230,58,0.827586,0.832189,0.829844,0.819838,
logistic_regression,9,3,43,230,58,0.775862,0.771614,0.776672,0.768219,
logistic_regression,9,4,44,231,57,0.736842,0.704471,0.719905,0.714406,
logistic_regression,9,5,45,231,57,0.736842,0.723471,0.736447,0.723347,
logistic_regression,10,1,46,230,58,0.706897,0.674635,0.693247,0.676923,
logistic_regression,10,2,47,230,58,0.758621,0.74287,0.753953,0.742915,
logistic_regression,10,3,48,230,58,0.827586,0.816442,0.825086,0.813765,
logistic_regression,10,4,49,231,57,0.824561,0.811538,0.820243,0.812163,
logistic_regression,10,5,50,231,57,0.859649,0.851208,0.856657,0.849022,
rbf_svm,1,1,1,230,58,0.724138,0.710765,0.717612,0.697756,
rbf_svm,1,2,2,230,58,0.706897,0.69633,0.704233,0.685223,
rbf_svm,1,3,3,230,58,0.62069,0.620238,0.618144,0.619433,
rbf_svm,1,4,4,231,57,0.77193,0.762969,0.770702,0.757338,
rbf_svm,1,5,5,231,57,0.614035,0.589708,0.609272,0.594804,
rbf_svm,2,1,6,230,58,0.758621,0.740313,0.749985,0.754487,
rbf_svm,2,2,7,230,58,0.689655,0.675468,0.679484,0.678138,
rbf_svm,2,3,8,230,58,0.758621,0.747412,0.754974,0.748988,
rbf_svm,2,4,9,231,57,0.684211,0.684663,0.688483,0.6778,
rbf_svm,2,5,10,231,57,0.649123,0.615357,0.631554,0.61024,
rbf_svm,3,1,11,230,58,0.672414,0.634524,0.655583,0.638462,
rbf_svm,3,2,12,230,58,0.741379,0.682937,0.699645,0.711538,
rbf_svm,3,3,13,230,58,0.637931,0.614247,0.631445,0.614372,
rbf_svm,3,4,14,231,57,0.789474,0.779461,0.782917,0.773701,
rbf_svm,3,5,15,231,57,0.631579,0.616848,0.632914,0.612433,
rbf_svm,4,1,16,230,58,0.758621,0.740378,0.755834,0.734615,
rbf_svm,4,2,17,230,58,0.637931,0.616071,0.626232,0.620445,
rbf_svm,4,3,18,230,58,0.637931,0.612596,0.632968,0.6083,
rbf_svm,4,4,19,231,57,0.666667,0.642206,0.660964,0.648026,
rbf_svm,4,5,20,231,57,0.701754,0.698604,0.700982,0.693826,
rbf_svm,5,1,21,230,58,0.758621,0.749084,0.760263,0.739423,
rbf_svm,5,2,22,230,58,0.741379,0.73789,0.740374,0.729757,
rbf_svm,5,3,23,230,58,0.724138,0.700699,0.712853,0.698381,
rbf_svm,5,4,24,231,57,0.649123,0.630583,0.638781,0.644146,
rbf_svm,5,5,25,231,57,0.666667,0.646724,0.660808,0.637146,
rbf_svm,6,1,26,230,58,0.741379,0.730461,0.741103,0.726923,
rbf_svm,6,2,27,230,58,0.655172,0.637332,0.649687,0.645749,
rbf_svm,6,3,28,230,58,0.689655,0.660396,0.673038,0.659919,
rbf_svm,6,4,29,231,57,0.736842,0.726077,0.732645,0.714069,
rbf_svm,6,5,30,231,57,0.736842,0.715969,0.727257,0.714406,
rbf_svm,7,1,31,230,58,0.724138,0.711413,0.717991,0.696154,
rbf_svm,7,2,32,230,58,0.775862,0.765159,0.771791,0.762146,
rbf_svm,7,3,33,230,58,0.655172,0.625627,0.639068,0.62753,
rbf_svm,7,4,34,231,57,0.649123,0.637148,0.643674,0.640941,
rbf_svm,7,5,35,231,57,0.684211,0.664027,0.677603,0.67333,
rbf_svm,8,1,36,230,58,0.724138,0.692644,0.714334,0.689423,
rbf_svm,8,2,37,230,58,0.62069,0.621329,0.624155,0.619433,
rbf_svm,8,3,38,230,58,0.741379,0.717345,0.729744,0.717611,
rbf_svm,8,4,39,231,57,0.736842,0.729414,0.73304,0.718877,
rbf_svm,8,5,40,231,57,0.719298,0.706838,0.71397,0.698043,
rbf_svm,9,1,41,230,58,0.724138,0.707069,0.717936,0.699359,
rbf_svm,9,2,42,230,58,0.689655,0.676527,0.681777,0.672065,
rbf_svm,9,3,43,230,58,0.724138,0.724124,0.72544,0.722672,
rbf_svm,9,4,44,231,57,0.719298,0.689148,0.705639,0.701248,
rbf_svm,9,5,45,231,57,0.701754,0.681028,0.699535,0.678812,
rbf_svm,10,1,46,230,58,0.637931,0.61986,0.636089,0.620192,
rbf_svm,10,2,47,230,58,0.689655,0.66379,0.683053,0.665992,
rbf_svm,10,3,48,230,58,0.741379,0.72256,0.73442,0.717611,
rbf_svm,10,4,49,231,57,0.754386,0.741603,0.748397,0.736505,
rbf_svm,10,5,50,231,57,0.824561,0.821238,0.823334,0.81503,
