mode,step,topic,source_timestamp_ms,received_timestamp_ms,mirrored_timestamp_ms,latency_ms,payload_size,dropped,success_flag,recovered_flag,cpu_percent,memory_mb,payload_note,fault_type,severity
M1,0,/camera/image_raw,2.133,16.373,18.6752,14.2399,237,0,1,0,24.0346,191.5371,rgb_frame,,
M1,0,/audio/stream,-8.3199,11.0616,12.5791,19.3815,308,0,1,0,24.0346,191.5371,wav_chunk,,
M1,0,/robot_pose,3.7523,26.3121,28.5649,22.5598,323,0,1,0,24.0346,191.5371,pose_state,,
M1,0,/head_cmd,10.0,31.3187,32.8313,21.3187,278,0,1,0,24.0346,191.5371,gaze_adjust,,
M1,0,/speech_cmd,12.0,27.6131,30.5159,15.6131,253,0,1,0,24.0346,191.5371,comfort_prompt,,
M1,0,/event_log,14.0,32.7092,34.3645,18.7092,329,0,1,0,24.0346,191.5371,sync_tick,,
M1,0,/system_health,16.0,34.8305,36.6879,18.8305,234,0,1,0,24.0346,191.5371,system_ok,,
M1,1,/camera/image_raw,103.7262,120.3,122.0902,16.5738,207,0,1,0,23.4739,202.9966,rgb_frame,,
M1,1,/audio/stream,102.9236,123.587,126.6901,20.6634,249,0,1,0,23.4739,202.9966,wav_chunk,,
M1,1,/robot_pose,102.0637,116.9025,118.443,14.8389,295,0,1,0,23.4739,202.9966,pose_state,,
M1,1,/head_cmd,110.0,131.1725,133.807,21.1725,216,0,1,0,23.4739,202.9966,gaze_adjust,,
M1,1,/speech_cmd,112.0,131.1281,133.4215,19.1281,269,0,1,0,23.4739,202.9966,comfort_prompt,,
M1,1,/event_log,114.0,135.6852,138.0641,21.6852,296,0,1,0,23.4739,202.9966,sync_tick,,
M1,1,/system_health,116.0,134.4698,136.9011,18.4698,293,0,1,0,23.4739,202.9966,system_ok,,
M1,2,/camera/image_raw,189.7999,214.7215,216.2288,24.9216,314,0,1,0,22.2972,196.2296,rgb_frame,,
M1,2,/audio/stream,197.4426,209.6529,211.585,12.2103,265,0,1,0,22.2972,196.2296,wav_chunk,,
M1,2,/robot_pose,197.6481,218.9348,221.7038,21.2867,303,0,1,0,22.2972,196.2296,pose_state,,
M1,2,/head_cmd,210.0,227.5469,229.377,17.5469,307,0,1,0,22.2972,196.2296,gaze_adjust,,
M1,2,/speech_cmd,212.0,230.1766,231.356,18.1766,188,0,1,0,22.2972,196.2296,comfort_prompt,,
M1,2,/event_log,214.0,229.264,231.8617,15.264,264,0,1,0,22.2972,196.2296,sync_tick,,
M1,2,/system_health,216.0,237.7037,239.5619,21.7037,265,0,1,0,22.2972,196.2296,system_ok,,
M1,3,/camera/image_raw,304.3791,321.6746,322.918,17.2955,285,0,1,0,22.2719,195.9834,rgb_frame,,
M1,3,/audio/stream,297.5252,314.4701,316.6801,16.9449,284,0,1,0,22.2719,195.9834,wav_chunk,,
M1,3,/robot_pose,302.2839,322.8925,325.6248,20.6086,250,0,1,0,22.2719,195.9834,pose_state,,
M1,3,/head_cmd,310.0,327.1293,329.2655,17.1293,154,0,1,0,22.2719,195.9834,gaze_adjust,,
M1,3,/speech_cmd,312.0,325.034,326.1759,13.034,196,0,1,0,22.2719,195.9834,comfort_prompt,,
M1,3,/event_log,314.0,334.4216,335.8972,20.4216,233,0,1,0,22.2719,195.9834,sync_tick,,
M1,3,/system_health,316.0,340.0194,341.9344,24.0194,300,0,1,0,22.2719,195.9834,system_ok,,
M1,4,/camera/image_raw,393.4647,405.1424,407.69,11.6777,270,0,1,0,22.6271,199.3529,rgb_frame,,
M1,4,/audio/stream,398.3565,414.5669,415.6101,16.2104,260,0,1,0,22.6271,199.3529,wav_chunk,,
M1,4,/robot_pose,395.2499,411.7189,414.1051,16.469,257,0,1,0,22.6271,199.3529,pose_state,,
M1,4,/head_cmd,410.0,434.9941,437.0026,24.9941,194,0,1,0,22.6271,199.3529,gaze_adjust,,
M1,4,/speech_cmd,412.0,431.3041,433.6801,19.3041,337,0,1,0,22.6271,199.3529,comfort_prompt,,
M1,4,/event_log,414.0,435.9275,438.413,21.9275,343,0,1,0,22.6271,199.3529,sync_tick,,
M1,4,/system_health,416.0,429.832,431.5202,13.832,200,0,1,0,22.6271,199.3529,system_ok,,
M1,5,/camera/image_raw,497.2713,512.9117,515.3625,15.6404,306,0,1,0,22.7556,192.8817,rgb_frame,,
M1,5,/audio/stream,488.9865,516.6761,521.2072,27.6896,280,0,1,0,22.7556,192.8817,wav_chunk,,
M1,5,/robot_pose,503.1758,518.9203,519.4147,15.7446,272,0,1,0,22.7556,192.8817,pose_state,,
M1,5,/head_cmd,510.0,526.4509,528.3187,16.4509,219,0,1,0,22.7556,192.8817,gaze_adjust,,
M1,5,/speech_cmd,512.0,531.1395,534.1923,19.1395,265,0,1,0,22.7556,192.8817,comfort_prompt,,
M1,5,/event_log,514.0,533.0682,534.4396,19.0682,155,0,1,0,22.7556,192.8817,sync_tick,,
M1,5,/system_health,516.0,533.7575,535.9145,17.7575,362,0,1,0,22.7556,192.8817,system_ok,,
M1,6,/camera/image_raw,600.9119,617.254,621.1568,16.3421,206,0,1,0,21.6966,194.2977,rgb_frame,,
M1,6,/audio/stream,607.8619,630.4589,631.9365,22.597,311,0,1,0,21.6966,194.2977,wav_chunk,,
M1,6,/robot_pose,597.5035,618.2863,620.361,20.7828,253,0,1,0,21.6966,194.2977,pose_state,,
M1,6,/head_cmd,610.0,626.6239,629.1807,16.6239,228,0,1,0,21.6966,194.2977,gaze_adjust,,
M1,6,/speech_cmd,612.0,626.3406,627.5182,14.3406,266,0,1,0,21.6966,194.2977,comfort_prompt,,
M1,6,/event_log,614.0,639.5594,641.8874,25.5594,248,0,1,0,21.6966,194.2977,sync_tick,,
M1,6,/system_health,616.0,636.3863,639.6311,20.3863,269,0,1,0,21.6966,194.2977,system_ok,,
M1,7,/camera/image_raw,697.1235,711.6328,712.7383,14.5093,355,0,1,0,24.6893,197.5131,rgb_frame,,
M1,7,/audio/stream,708.8503,735.1522,737.2086,26.3019,233,0,1,0,24.6893,197.5131,wav_chunk,,
M1,7,/robot_pose,702.1438,727.3968,728.7111,25.253,202,0,1,0,24.6893,197.5131,pose_state,,
M1,7,/head_cmd,710.0,731.9805,733.8648,21.9805,255,0,1,0,24.6893,197.5131,gaze_adjust,,
M1,7,/speech_cmd,712.0,730.7534,733.2235,18.7534,340,0,1,0,24.6893,197.5131,comfort_prompt,,
M1,7,/event_log,714.0,733.7696,736.4847,19.7696,132,0,1,0,24.6893,197.5131,sync_tick,,
M1,7,/system_health,716.0,735.2123,736.7378,19.2123,182,0,1,0,24.6893,197.5131,system_ok,,
M1,8,/camera/image_raw,793.8529,811.2034,813.1413,17.3505,316,0,1,0,21.541,197.0858,rgb_frame,,
M1,8,/audio/stream,797.327,818.7667,822.0366,21.4397,246,0,1,0,21.541,197.0858,wav_chunk,,
M1,8,/robot_pose,804.5795,821.0829,823.1038,16.5034,270,0,1,0,21.541,197.0858,pose_state,,
M1,8,/head_cmd,810.0,829.9935,831.326,19.9935,261,0,1,0,21.541,197.0858,gaze_adjust,,
M1,8,/speech_cmd,812.0,832.2001,836.4141,20.2001,368,0,1,0,21.541,197.0858,comfort_prompt,,
M1,8,/event_log,814.0,829.8742,831.8443,15.8742,168,0,1,0,21.541,197.0858,sync_tick,,
M1,8,/system_health,816.0,832.9244,835.3768,16.9244,328,0,1,0,21.541,197.0858,system_ok,,
M1,9,/camera/image_raw,894.8964,911.4546,912.9531,16.5582,250,0,1,0,22.8211,194.0252,rgb_frame,,
