mode,step,simulation_time_ms,sync_error_ms,camera_audio_offset_ms,pose_command_offset_ms,fault_type,severity,message_drop_rate_proxy
M1,0,0.0,15.9858,10.4529,6.2477,,,
M1,1,100.0,8.2472,0.8026,7.9363,,,
M1,2,200.0,10.1188,7.6427,12.3519,,,
M1,3,300.0,8.9447,6.8539,7.7161,,,
M1,4,400.0,7.9201,4.8918,14.7501,,,
M1,5,500.0,5.8447,8.2848,6.8242,,,
M1,6,600.0,11.5755,6.95,12.4965,,,
M1,7,700.0,24.4703,11.7268,7.8562,,,
M1,8,800.0,9.9625,3.4741,5.4205,,,
M1,9,900.0,8.8407,0.1296,20.7364,,,
M1,10,1000.0,4.4264,0.4639,8.8392,,,
M1,11,1100.0,7.9874,1.4263,11.4609,,,
M1,12,1200.0,3.7207,8.6956,5.8601,,,
M1,13,1300.0,16.2937,3.2171,21.4564,,,
M1,14,1400.0,13.4407,12.7267,13.7179,,,
M1,15,1500.0,17.001,16.6056,12.3589,,,
M1,16,1600.0,2.9831,2.997,10.3457,,,
M1,17,1700.0,8.2206,8.0318,11.7139,,,
M1,18,1800.0,16.6626,15.4387,8.2615,,,
M1,19,1900.0,12.7991,9.6451,19.157,,,
M1,20,2000.0,9.9527,0.3105,3.3211,,,
M1,21,2100.0,12.5493,9.492,6.4658,,,
M1,22,2200.0,24.3864,9.0318,9.0508,,,
M1,23,2300.0,14.6913,15.8913,7.4229,,,
M1,24,2400.0,4.0831,7.5656,12.0582,,,
M1,25,2500.0,10.3195,14.3282,1.6606,,,
M1,26,2600.0,18.9433,13.3167,8.0615,,,
M1,27,2700.0,10.1877,6.7601,4.7541,,,
M1,28,2800.0,3.3097,0.9752,7.7609,,,
M1,29,2900.0,26.9379,3.4078,14.6043,,,
M1,30,3000.0,9.4839,0.2795,1.0122,,,
M1,31,3100.0,11.8162,9.028,11.5955,,,
M1,32,3200.0,8.6431,4.856,13.7645,,,
M1,33,3300.0,13.416,18.8913,14.9101,,,
M1,34,3400.0,25.0169,9.9646,3.7753,,,
M1,35,3500.0,7.7201,8.4386,7.2221,,,
