window_id,video_available_ratio,audio_available_ratio,context_available_ratio,physiology_available_ratio,all_modalities_present_ratio
0,1.0,0.8947,1.0,0.6316,0.5789
1,1.0,0.9048,1.0,0.6667,0.619
2,0.95,0.95,1.0,0.55,0.45
3,0.8421,0.9474,1.0,0.4737,0.2632
4,0.9,0.95,1.0,0.6,0.45
5,1.0,1.0,1.0,0.7,0.7
6,1.0,0.95,1.0,0.7,0.7
7,1.0,0.85,1.0,0.65,0.55
8,0.9524,0.9048,1.0,0.7143,0.5714
9,0.95,1.0,1.0,0.6,0.55
10,1.0,0.9474,1.0,0.4737,0.4211
11,0.9048,0.9524,0.8571,0.4286,0.381
12,0.8095,1.0,0.8571,0.5714,0.4762
13,0.7895,1.0,1.0,0.7368,0.5263
14,0.8421,0.9474,1.0,0.5789,0.4211
15,0.85,0.9,1.0,0.6,0.4
16,0.85,0.95,0.85,0.65,0.35
17,0.95,0.95,0.75,0.7,0.45
18,0.95,0.85,0.9,0.75,0.55
19,0.95,0.9,1.0,0.75,0.65
20,0.95,0.95,1.0,0.65,0.65
21,0.9,0.95,1.0,0.45,0.45
