window_id,start_ms,end_ms,sample_count,majority_label,video_frames,audio_frames,context_frames,physiology_frames
0,-18,1982,19,happy,19,17,19,12
1,982,2982,21,sad,21,19,21,14
2,1982,3982,20,neutral,19,19,20,11
3,2982,4982,19,fear,16,18,19,9
4,3982,5982,20,happy,18,19,20,12
5,4982,6982,20,happy,20,20,20,14
6,5982,7982,20,sad,20,19,20,14
7,6982,8982,20,neutral,20,17,20,13
8,7982,9982,21,fear,20,19,21,15
9,8982,10982,20,happy,19,20,20,12
10,9982,11982,19,sad,19,18,19,9
11,10982,12982,21,neutral,19,20,18,9
12,11982,13982,21,neutral,17,21,18,12
13,12982,14982,19,fear,15,19,19,14
14,13982,15982,19,happy,16,18,19,11
15,14982,16982,20,sad,17,18,20,12
16,15982,17982,20,neutral,17,19,17,13
17,16982,18982,20,fear,19,19,15,14
18,17982,19982,20,fear,19,17,18,15
19,18982,20982,20,happy,19,18,20,15
20,19982,21982,20,sad,19,19,20,13
21,20982,22982,20,neutral,18,19,20,9
