model_id,epoch,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,loss,evidence_level
B2,1,0.35,0.2667,0.2246,0.1798,1.612084,synthetic_placeholder_benchmark
B2,2,0.4722,0.4167,0.2855,0.2477,1.416969,synthetic_placeholder_benchmark
B2,3,0.5083,0.4667,0.3181,0.2809,1.240426,synthetic_placeholder_benchmark
B2,4,0.625,0.5417,0.4538,0.3717,1.083417,synthetic_placeholder_benchmark
B2,5,0.7861,0.7667,0.6254,0.584,0.945354,synthetic_placeholder_benchmark
B2,6,0.8667,0.8333,0.6894,0.637,0.823165,synthetic_placeholder_benchmark
B2,7,0.9083,0.8833,0.7234,0.6764,0.715516,synthetic_placeholder_benchmark
B2,8,0.9278,0.875,0.7398,0.6683,0.621168,synthetic_placeholder_benchmark
B2,9,0.9417,0.925,0.7514,0.7117,0.539414,synthetic_placeholder_benchmark
B2,10,0.9528,0.9167,0.7604,0.7043,0.469039,synthetic_placeholder_benchmark
B2,11,0.9528,0.925,0.7604,0.7115,0.408721,synthetic_placeholder_benchmark
B2,12,0.9528,0.925,0.7604,0.7114,0.357567,synthetic_placeholder_benchmark
B2,13,0.9556,0.925,0.7627,0.7114,0.314019,synthetic_placeholder_benchmark
B2,14,0.9583,0.9417,0.7896,0.7929,0.276828,synthetic_placeholder_benchmark
B3,1,0.9556,0.9417,0.932,0.9088,0.058333,synthetic_placeholder_benchmark
B3,2,0.9778,0.9583,0.9811,0.9635,0.041667,synthetic_placeholder_benchmark
B3,3,0.9917,0.9667,0.9929,0.971,0.033333,synthetic_placeholder_benchmark
B3,4,0.9889,0.9667,0.9906,0.9714,0.033333,synthetic_placeholder_benchmark
B3,5,0.9944,0.9583,0.9953,0.9639,0.041667,synthetic_placeholder_benchmark
B3,6,0.9917,0.9667,0.993,0.971,0.033333,synthetic_placeholder_benchmark
B3,7,1.0,0.9833,1.0,0.9857,0.016667,synthetic_placeholder_benchmark
B3,8,0.9833,0.9583,0.986,0.9645,0.041667,synthetic_placeholder_benchmark
B3,9,0.9833,0.9583,0.986,0.9645,0.041667,synthetic_placeholder_benchmark
B3,10,0.9861,0.9583,0.9883,0.9645,0.041667,synthetic_placeholder_benchmark
B3,11,0.9944,0.9833,0.9953,0.9859,0.016667,synthetic_placeholder_benchmark
B3,12,1.0,0.9833,1.0,0.9859,0.016667,synthetic_placeholder_benchmark
B3,13,0.9806,0.975,0.9836,0.9788,0.025,synthetic_placeholder_benchmark
B3,14,0.9861,0.9583,0.9883,0.9647,0.041667,synthetic_placeholder_benchmark
