Model,Repeat,Fold,Run_Index,Validation_Accuracy,Source,Evidence_Note
Enhanced CNN-small,1,1,1,95.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,1,2,2,95.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,1,3,3,95.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,1,4,4,95.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,1,5,5,95.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,2,1,6,95.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,2,2,7,95.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,2,3,8,95.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,2,4,9,95.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,2,5,10,95.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,3,1,11,95.6,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,3,2,12,95.677,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,3,3,13,95.761,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,3,4,14,95.844,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,3,5,15,95.927,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,4,1,16,96.01,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,4,2,17,96.093,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,4,3,18,96.176,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,4,4,19,96.259,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,4,5,20,96.343,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
Enhanced CNN-small,5,1,21,96.426,manuscript_facing_approximate_row,summary-level manuscript-facing CV statistics; full repeated training logs should be preserved when available.
