section,entity,metric,value,evidence_level
CS1,M1,mean_latency_ms,19.1193,simulation_based_evaluation
CS1,M1,p95_latency_ms,25.8839,simulation_based_evaluation
CS1,M1,max_latency_ms,31.2981,simulation_based_evaluation
CS1,M1,message_drop_rate,0.0,simulation_based_evaluation
CS1,M1,task_success_rate,0.9881,simulation_based_evaluation
CS1,M1,recovery_rate,0.0119,simulation_based_evaluation
CS1,M1,cpu_percent_mean,22.8213,simulation_based_evaluation
CS1,M1,memory_mb_mean,197.0139,simulation_based_evaluation
CS1,M2,mean_latency_ms,28.5686,simulation_based_evaluation
CS1,M2,p95_latency_ms,35.4492,simulation_based_evaluation
CS1,M2,max_latency_ms,39.6228,simulation_based_evaluation
CS1,M2,message_drop_rate,0.0,simulation_based_evaluation
CS1,M2,task_success_rate,1.0,simulation_based_evaluation
CS1,M2,recovery_rate,0.0,simulation_based_evaluation
CS1,M2,cpu_percent_mean,26.6559,simulation_based_evaluation
CS1,M2,memory_mb_mean,204.1277,simulation_based_evaluation
CS1,M3,mean_latency_ms,32.5039,simulation_based_evaluation
CS1,M3,p95_latency_ms,39.4332,simulation_based_evaluation
CS1,M3,max_latency_ms,44.4496,simulation_based_evaluation
CS1,M3,message_drop_rate,0.0,simulation_based_evaluation
CS1,M3,task_success_rate,0.9881,simulation_based_evaluation
CS1,M3,recovery_rate,0.0119,simulation_based_evaluation
CS1,M3,cpu_percent_mean,24.5688,simulation_based_evaluation
CS1,M3,memory_mb_mean,201.7303,simulation_based_evaluation
CS1,M4,mean_latency_ms,40.4978,simulation_based_evaluation
CS1,M4,p95_latency_ms,46.5223,simulation_based_evaluation
CS1,M4,max_latency_ms,55.6993,simulation_based_evaluation
CS1,M4,message_drop_rate,0.0531,simulation_based_evaluation
CS1,M4,task_success_rate,0.9459,simulation_based_evaluation
CS1,M4,recovery_rate,0.0466,simulation_based_evaluation
CS1,M4,cpu_percent_mean,29.8865,simulation_based_evaluation
CS1,M4,memory_mb_mean,208.9432,simulation_based_evaluation
CS2,aligned_nominal,mean_alignment_error_ms,52.6608,synthetic_placeholder_benchmark
CS2,aligned_nominal,full_modality_window_rate,0.5072,synthetic_placeholder_benchmark
CS2,aligned_nominal,video_available_rate,0.9246,synthetic_placeholder_benchmark
CS2,aligned_nominal,audio_available_rate,0.9386,synthetic_placeholder_benchmark
CS2,aligned_nominal,context_available_rate,0.9643,synthetic_placeholder_benchmark
CS2,aligned_nominal,physiology_available_rate,0.6193,synthetic_placeholder_benchmark
CS2,missing_modality_stress,mean_alignment_error_ms,63.193,synthetic_placeholder_benchmark
CS2,missing_modality_stress,full_modality_window_rate,0.4159,synthetic_placeholder_benchmark
CS2,missing_modality_stress,video_available_rate,0.8783,synthetic_placeholder_benchmark
CS2,missing_modality_stress,audio_available_rate,0.7603,synthetic_placeholder_benchmark
CS2,missing_modality_stress,context_available_rate,0.9354,synthetic_placeholder_benchmark
CS2,missing_modality_stress,physiology_available_rate,0.4583,synthetic_placeholder_benchmark
CS3,B0,accuracy,0.835,implemented_real_baseline
CS3,B0,macro_f1,0.8155,implemented_real_baseline
CS3,B0,weighted_f1,0.8378,implemented_real_baseline
CS3,B0,uar,0.8668,implemented_real_baseline
CS3,B0,inference_latency_ms,,implemented_real_baseline
CS3,B0,robustness_missing_modality_macro_f1,,implemented_real_baseline
CS3,B1,accuracy,1.0,synthetic_placeholder_benchmark
CS3,B1,macro_f1,1.0,synthetic_placeholder_benchmark
CS3,B1,weighted_f1,1.0,synthetic_placeholder_benchmark
CS3,B1,uar,1.0,synthetic_placeholder_benchmark
CS3,B1,inference_latency_ms,0.3981,synthetic_placeholder_benchmark
CS3,B1,robustness_missing_modality_macro_f1,0.927,synthetic_placeholder_benchmark
CS3,B2,accuracy,0.9417,synthetic_placeholder_benchmark
CS3,B2,macro_f1,0.7929,synthetic_placeholder_benchmark
CS3,B2,weighted_f1,0.9277,synthetic_placeholder_benchmark
CS3,B2,uar,0.7755,synthetic_placeholder_benchmark
CS3,B2,inference_latency_ms,0.2441,synthetic_placeholder_benchmark
CS3,B2,robustness_missing_modality_macro_f1,0.6581,synthetic_placeholder_benchmark
CS3,B3,accuracy,0.9583,synthetic_placeholder_benchmark
CS3,B3,macro_f1,0.9647,synthetic_placeholder_benchmark
CS3,B3,weighted_f1,0.9585,synthetic_placeholder_benchmark
CS3,B3,uar,0.9669,synthetic_placeholder_benchmark
CS3,B3,inference_latency_ms,0.136,synthetic_placeholder_benchmark
CS3,B3,robustness_missing_modality_macro_f1,0.863,synthetic_placeholder_benchmark
